id,stage,parent_category,task_name,merge_group,merge_compatible,merge_strategy,merge_cap_tokens,pricing_basis,io_tokens_in_default,io_tokens_out_default,io_addon_merge_mode,io_addon_merge_ratio,io_can_batch,io_avg_chunk_tokens,users,qpm,tokens_in,tokens_out,corpus_gb,embed_model,refresh_rate,avg_chunk_tokens,num_queries,avg_query_tokens,source_type,classes,complexity_level,language_pairs,num_tools,chain_depth,avg_steps,eval_freq,metrics,model_profile.key,model_profile.tier,model_profile.context_window,model_profile.pricing_basis,model_profile.override_ok,model_band_min_key,model_band_max_key,infra_profile.hosting_type,infra_profile.hardware_hint,gpu_hourly_key,gpu_count_default,batch_size_default,ft_enabled,ft_cost_basis,ft_dataset_tokens,ft_expected_hours,availability_target,monitoring_tier_default,compliance_flag,notes,required_inputs,fine_tune.enabled,fine_tune.cost_basis,fine_tune.dataset_tokens,fine_tune.expected_hours
1,S0,Information Extraction & Structuring,Named Entity Recognition,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,anthropic/claude-3.5-haiku,small,200000,token,TRUE,anthropic/claude-3.5-haiku,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
2,S0,Information Extraction & Structuring,Keyphrase Extraction,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,mistral/mistral-medium,medium,32000,token,TRUE,mistral/mistral-medium-mini,mistral/mistral-medium,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
3,S0,Information Extraction & Structuring,Regex-based Extraction,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,mistral/mistral-large,large,64000,token,TRUE,mistral/mistral-large-mini,mistral/mistral-large,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
4,S0,Information Extraction & Structuring,PII Detection,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,cohere/command-r-plus,large,128000,token,TRUE,cohere/command-r-plus-mini,cohere/command-r-plus,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
5,S0,Information Extraction & Structuring,Entity Linking,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,google/gemini-1.5-flash,small,1000000,token,TRUE,google/gemini-1.5-flash,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
6,S0,Information Extraction & Structuring,Slot Filling,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,google/gemini-1.5-pro,large,1000000,token,TRUE,google/gemini-1.5-pro,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
7,S0,Information Extraction & Structuring,Table Extraction (text→JSON),S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,openai/gpt-4o-mini,medium,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o-,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
8,S0,Information Extraction & Structuring,Date/Time Normalization,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,openai/gpt-4o,large,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
9,S0,Information Extraction & Structuring,Address Parsing,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,openai/gpt-4.1-mini,medium,200000,token,TRUE,openai/gpt-4.1-mini,openai/gpt-4.1-,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
10,S0,Information Extraction & Structuring,Email/Phone Extraction,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,anthropic/claude-3.5-sonnet,large,200000,token,TRUE,anthropic/claude-3.5-sonnet-mini,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
11,S0,Information Extraction & Structuring,Product Attribute Extraction,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,anthropic/claude-3.5-haiku,small,200000,token,TRUE,anthropic/claude-3.5-haiku,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
12,S0,Information Extraction & Structuring,Intent + Entity Extraction,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,mistral/mistral-medium,medium,32000,token,TRUE,mistral/mistral-medium-mini,mistral/mistral-medium,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
13,S0,Information Extraction & Structuring,Custom Schema Extraction,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,mistral/mistral-large,large,64000,token,TRUE,mistral/mistral-large-mini,mistral/mistral-large,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
14,S0,Information Extraction & Structuring,Invoice Field Extraction,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,cohere/command-r-plus,large,128000,token,TRUE,cohere/command-r-plus-mini,cohere/command-r-plus,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
15,S0,Information Extraction & Structuring,Resume Field Extraction,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,google/gemini-1.5-flash,small,1000000,token,TRUE,google/gemini-1.5-flash,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
16,S0,Information Extraction & Structuring,Medical Entity Extraction,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,google/gemini-1.5-pro,large,1000000,token,TRUE,google/gemini-1.5-pro,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
17,S0,Information Extraction & Structuring,Legal Clause Extraction,S0_ie,FALSE,separate_only,,token,600,120,fixed,0,TRUE,,100,10,,,,,,,,,,,,,,,,,,openai/gpt-4o-mini,medium,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o-,api,,,,,FALSE,,,,99,Basic,None,Schema-specific extraction; often separate step.,"users, qpm, tokens_in, tokens_out, schema_fields",FALSE,,,
18,S0,Text Cleaning & Normalization,Spelling Correction,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,openai/gpt-4o-mini,medium,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o-,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
19,S0,Text Cleaning & Normalization,Grammar Fix,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,openai/gpt-4o,large,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
20,S0,Text Cleaning & Normalization,Punctuation Normalization,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,openai/gpt-4.1-mini,medium,200000,token,TRUE,openai/gpt-4.1-mini,openai/gpt-4.1-,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
21,S0,Text Cleaning & Normalization,Lowercasing,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,anthropic/claude-3.5-sonnet,large,200000,token,TRUE,anthropic/claude-3.5-sonnet-mini,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
22,S0,Text Cleaning & Normalization,Stopword Removal,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,anthropic/claude-3.5-haiku,small,200000,token,TRUE,anthropic/claude-3.5-haiku,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
23,S0,Text Cleaning & Normalization,Profanity Filter,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,mistral/mistral-medium,medium,32000,token,TRUE,mistral/mistral-medium-mini,mistral/mistral-medium,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
24,S0,Text Cleaning & Normalization,PII Redaction,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,mistral/mistral-large,large,64000,token,TRUE,mistral/mistral-large-mini,mistral/mistral-large,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
25,S0,Text Cleaning & Normalization,De-duplication,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,cohere/command-r-plus,large,128000,token,TRUE,cohere/command-r-plus-mini,cohere/command-r-plus,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
26,S0,Text Cleaning & Normalization,Whitespace Normalization,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,google/gemini-1.5-flash,small,1000000,token,TRUE,google/gemini-1.5-flash,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
27,S0,Text Cleaning & Normalization,Sentence Splitting,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,google/gemini-1.5-pro,large,1000000,token,TRUE,google/gemini-1.5-pro,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
28,S0,Text Cleaning & Normalization,URL Cleanup,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,openai/gpt-4o-mini,medium,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o-,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
29,S0,Text Cleaning & Normalization,Emoji Stripping,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,openai/gpt-4o,large,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
30,S0,Text Cleaning & Normalization,OCR Noise Cleanup,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,openai/gpt-4.1-mini,medium,200000,token,TRUE,openai/gpt-4.1-mini,openai/gpt-4.1-,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
31,S0,Text Cleaning & Normalization,Tokenization,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,anthropic/claude-3.5-sonnet,large,200000,token,TRUE,anthropic/claude-3.5-sonnet-mini,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
32,S0,Text Cleaning & Normalization,Noise Reduction,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,anthropic/claude-3.5-haiku,small,200000,token,TRUE,anthropic/claude-3.5-haiku,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
33,S0,Text Cleaning & Normalization,Dialect Normalization,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,mistral/mistral-medium,medium,32000,token,TRUE,mistral/mistral-medium-mini,mistral/mistral-medium,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
34,S0,Text Cleaning & Normalization,Brand Name Standardization,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,mistral/mistral-large,large,64000,token,TRUE,mistral/mistral-large-mini,mistral/mistral-large,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
35,S0,Translation & Language Adaptation,Machine Translation (xx→en),S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,cohere/command-r-plus,large,128000,token,TRUE,cohere/command-r-plus-mini,cohere/command-r-plus,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
36,S0,Translation & Language Adaptation,Machine Translation (en→xx),S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,google/gemini-1.5-flash,small,1000000,token,TRUE,google/gemini-1.5-flash,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
37,S0,Translation & Language Adaptation,Tone Adaptation,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,google/gemini-1.5-pro,large,1000000,token,TRUE,google/gemini-1.5-pro,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
38,S0,Translation & Language Adaptation,Style Transfer,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,openai/gpt-4o-mini,medium,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o-,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
39,S0,Translation & Language Adaptation,Formalization,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,openai/gpt-4o,large,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
40,S0,Translation & Language Adaptation,Casualization,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,openai/gpt-4.1-mini,medium,200000,token,TRUE,openai/gpt-4.1-mini,openai/gpt-4.1-,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
41,S0,Translation & Language Adaptation,Localization,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,anthropic/claude-3.5-sonnet,large,200000,token,TRUE,anthropic/claude-3.5-sonnet-mini,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
42,S0,Translation & Language Adaptation,Gender-Neutral Rewrite,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,anthropic/claude-3.5-haiku,small,200000,token,TRUE,anthropic/claude-3.5-haiku,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
43,S0,Translation & Language Adaptation,Terminology Harmonization,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,mistral/mistral-medium,medium,32000,token,TRUE,mistral/mistral-medium-mini,mistral/mistral-medium,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
44,S0,Translation & Language Adaptation,Region-Specific Adaptation,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,mistral/mistral-large,large,64000,token,TRUE,mistral/mistral-large-mini,mistral/mistral-large,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
45,S0,Translation & Language Adaptation,Language Detection + Route,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,cohere/command-r-plus,large,128000,token,TRUE,cohere/command-r-plus-mini,cohere/command-r-plus,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
46,S0,Translation & Language Adaptation,Bilingual Alignment,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,google/gemini-1.5-flash,small,1000000,token,TRUE,google/gemini-1.5-flash,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
47,S0,Translation & Language Adaptation,Transliteration,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,google/gemini-1.5-pro,large,1000000,token,TRUE,google/gemini-1.5-pro,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
48,S0,Translation & Language Adaptation,Domain-Adapted MT,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,openai/gpt-4o-mini,medium,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o-,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
49,S0,Translation & Language Adaptation,Glossary-Enforced MT,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,openai/gpt-4o,large,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
